time,Noisy signal
0.0,1.382
0.009,-0.348
0.019,-0.527
0.03,0.274
0.04,0.875
0.05,0.725
0.06,-1.17
0.07,-1.016
0.081,-0.012
0.091,0.806
0.102,-1.261
0.113,-1.119
0.123,0.347
0.134,0.933
0.144,-0.543
0.154,-0.959
0.165,-0.061
0.174,0.854
0.185,-0.262
0.195,-1.179
0.206,-0.04
0.216,0.482
0.227,-0.157
0.238,-0.968
0.247,-0.57
0.256,0.576
0.266,0.567
0.275,-0.35
0.284,-0.861
0.295,0.199
0.306,0.256
0.317,-0.136
0.326,-0.485
0.336,-0.189
0.347,1.259
0.357,0.592
0.368,-0.796
0.377,-0.739
0.387,0.803
0.397,0.653
0.406,-0.661
0.417,-0.909
0.427,0.396
0.437,0.883
0.447,-0.688
0.457,-0.458
0.467,0.543
0.476,0.96
0.487,0.247
0.497,-0.751
0.508,-0.308
0.517,0.595
0.527,1.134
0.537,-0.667
0.547,-0.446
0.556,0.078
0.567,1.131
0.577,0.01
0.587,-0.82
0.597,0.035
0.607,0.805
0.617,0.159
0.627,-0.299
0.638,-0.396
0.647,0.649
0.657,0.483
0.667,-1.113
0.678,-0.416
0.688,0.5
0.698,1.126
0.708,-0.384
0.718,-1.054
0.728,0.118
0.737,0.669
0.747,0.846
0.757,-0.768
0.767,-0.897
0.776,0.208
0.787,0.805
0.796,-0.365
0.806,-1.178
0.817,0.259
0.827,1.029
0.838,-0.607
0.848,-0.646
0.859,0.097
0.868,1.049
0.879,0.287
0.889,-0.543
0.9,-0.024
0.91,0.581
0.92,0.464
0.931,-0.621
0.941,-1.303
0.951,1.085
0.962,0.938
0.973,-1.007
0.983,-0.685
0.992,0.026
1.0,0.87
1.011,1.001
1.02,0.839
1.031,0.601
1.041,0.133
1.052,0.057
1.061,-0.142
1.071,-0.638
1.081,-1.354
1.09,-0.243
1.1,-0.148
1.11,-0.709
1.119,-0.608
1.13,-0.566
1.139,-0.525
1.149,0.192
1.16,0.164
1.169,0.741
1.18,0.877
1.19,1.683
1.199,0.401
1.21,1.268
1.22,0.359
1.231,0.526
1.241,0.292
1.25,0.004
1.261,-0.403
1.271,-0.864
1.281,-0.622
1.291,-0.765
1.302,-1.042
1.312,-1.232
1.322,-0.883
1.332,-0.31
1.342,-0.551
1.352,-0.183
1.362,0.275
1.372,0.406
1.383,1.153
1.393,0.169
1.402,0.594
1.412,0.687
1.422,0.604
1.432,0.739
1.442,0.24
1.451,0.454
1.461,-0.226
1.471,-1.116
1.482,-1.462
1.493,-1.222
1.504,-1.147
1.514,-0.951
1.524,-0.588
1.535,-0.506
1.545,-0.245
1.556,0.413
1.566,0.532
1.576,0.993
1.587,0.808
1.597,1.402
1.608,1.113
1.619,0.667
1.63,0.07
1.64,0.769
1.65,-0.193
1.66,-0.617
1.67,-0.753
1.68,-0.491
1.69,-0.829
1.701,-0.504
1.711,-0.826
1.721,-1.517
1.731,-0.938
1.741,-0.45
1.752,-0.266
1.763,0.432
1.773,0.9
1.782,0.744
1.793,1.327
1.802,0.702
1.812,0.834
1.823,1.172
1.834,0.624
1.845,-0.286
1.854,-0.253
1.863,-0.115
1.873,-0.144
1.882,-1.269
1.893,-0.89
1.903,-0.849
1.912,-1.009
1.923,-0.14
1.933,-0.34
1.944,-0.227
1.954,-0.059
1.965,0.4
1.975,0.58
1.985,0.141
1.994,1.246
2.005,0.596
2.0,0.928
2.026,-0.412
2.036,-0.912
2.047,-0.423
2.057,-0.448
2.066,0.04
2.077,0.474
2.087,1.121
2.096,0.477
2.107,0.059
2.116,-0.79
2.127,-1.209
2.138,0.043
2.148,0.137
2.158,0.161
2.168,1.164
2.177,0.473
2.188,0.354
2.197,-0.808
2.206,-0.716
2.217,-0.365
2.227,-0.427
2.237,1.236
2.248,1.351
2.258,0.709
2.267,0.64
2.277,-0.461
2.287,-0.608
2.298,-0.936
2.308,-0.272
2.319,0.605
2.329,0.744
2.34,0.496
2.35,0.262
2.36,-0.114
2.37,-0.981
2.381,-0.926
2.392,-0.242
2.401,0.848
2.412,0.814
2.421,1.019
2.431,0.329
2.442,-0.256
2.452,-0.623
2.462,-0.937
2.472,-0.255
2.483,0.199
2.493,0.857
2.503,1.053
2.512,0.937
2.522,-0.388
2.532,-0.517
2.542,-1.272
2.553,-0.509
2.563,-0.288
2.572,0.708
2.582,1.03
2.593,0.715
2.602,0.64
2.613,-0.72
2.622,-1.183
2.632,-0.544
2.642,-0.537
2.653,0.439
2.662,1.063
2.671,1.419
2.682,0.224
2.691,-0.226
2.701,-1.227
2.71,-1.18
2.721,-0.769
2.732,0.302
2.741,0.409
2.751,1.322
2.76,0.957
2.771,0.019
2.782,-0.716
2.792,-1.097
2.802,-0.803
2.813,-0.3
2.823,0.726
2.834,1.056
2.844,0.012
2.854,-0.154
2.863,-0.928
2.872,-1.098
2.882,-0.09
2.892,-0.149
2.901,0.269
2.911,1.089
2.921,0.617
2.931,0.365
2.942,0.2
2.951,-1.183
2.961,-1.355
2.971,0.131
2.981,0.204
2.99,0.952
3.001,1.168
3.01,0.887
3.0,1.005
3.031,-0.667
3.042,-1.065
3.053,-0.734
3.063,-0.199
3.073,-0.055
3.083,1.418
3.094,0.931
3.104,0.459
3.113,-0.374
3.123,-0.898
3.133,-0.975
3.144,-0.221
3.155,0.775
3.166,1.604
3.175,0.911
3.186,-0.01
3.197,-0.484
3.207,-1.472
3.217,-0.816
3.228,0.341
3.238,0.7
3.249,0.874
3.26,0.997
3.27,-0.175
3.281,-0.211
3.291,-0.987
3.3,-0.751
3.311,-0.029
3.321,0.483
3.33,0.363
3.341,0.507
3.351,0.037
3.36,-0.974
3.37,-0.733
3.38,-0.678
3.39,-0.558
3.399,0.479
3.409,1.209
3.419,1.181
3.429,0.467
3.44,-0.024
3.45,-0.437
3.46,-1.376
3.47,-0.649
3.48,0.056
3.49,1.101
3.499,1.142
3.509,0.645
3.52,0.507
3.529,-0.689
3.539,-0.933
3.548,-0.816
3.558,-0.235
3.568,0.207
3.577,1.351
3.588,1.216
3.598,0.478
3.608,-0.182
3.618,-0.794
3.628,-0.784
3.638,-0.79
3.649,0.392
3.66,1.184
3.671,0.673
3.68,0.802
3.69,0.106
3.7,-0.485
3.71,-1.299
3.72,-0.346
3.731,0.155
3.741,0.555
3.752,1.375
3.763,0.715
3.773,-0.12
3.784,-0.746
3.793,-0.842
3.804,-0.949
3.813,-0.17
3.823,0.356
3.833,0.916
3.843,0.744
3.853,0.472
3.864,-0.877
3.873,-1.169
3.884,-0.113
3.894,0.534
3.905,0.599
3.915,1.047
3.925,0.555
3.934,-0.071
3.944,-0.179
3.954,-0.381
3.965,-1.169
3.975,-0.66
3.986,1.189
3.996,1.155
4.007,1.107
4.017,0.817
4.027,-0.308
4.0,0.777
4.047,-0.092
4.057,0.683
4.066,-1.011
4.076,0.341
4.086,0.497
4.097,-0.608
4.107,0.799
4.116,-0.266
4.125,-0.608
4.135,0.607
4.146,-0.633
4.156,-0.089
4.165,0.561
4.175,-0.897
4.184,1.156
4.195,-0.183
4.205,-1.163
4.215,1.104
4.224,-0.663
4.234,-0.297
4.244,0.485
4.253,-0.759
4.264,0.193
4.275,0.685
4.285,-1.322
4.296,0.86
4.306,-0.347
4.316,-0.027
4.327,0.648
4.336,-1.073
4.347,0.08
4.356,0.157
4.366,-0.87
4.376,0.802
4.386,-0.161
4.397,-0.365
4.407,0.58
4.417,-1.248
4.426,0.308
4.437,0.324
4.447,-1.323
4.457,0.085
4.466,0.444
4.475,-0.702
4.485,0.378
4.496,-0.555
4.505,-0.487
4.515,1.252
4.525,-0.849
4.536,-0.102
4.545,0.264
4.556,-0.933
4.566,0.689
4.576,-0.015
4.586,-0.029
4.596,1.075
4.606,-0.703
4.615,-0.41
4.626,0.589
4.636,-0.446
4.646,1.2
