time,Noisy signal
0.0,1.055
0.011,-0.249
0.022,-1.095
0.032,-0.174
0.043,1.037
0.053,-0.063
0.064,-1.173
0.074,-0.772
0.084,0.754
0.095,0.497
0.106,-0.808
0.117,-0.046
0.127,0.983
0.137,1.194
0.148,-0.463
0.158,-1.109
0.168,1.159
0.178,1.247
0.188,0.058
0.198,-0.808
0.208,-0.179
0.219,0.986
0.23,0.081
0.239,-1.182
0.25,-0.072
0.26,0.596
0.27,0.387
0.28,-1.367
0.29,-0.608
0.3,1.277
0.31,0.852
0.32,-0.376
0.331,-0.989
0.341,0.784
0.352,0.927
0.361,-0.204
0.372,-1.069
0.382,-0.574
0.392,0.625
0.401,0.217
0.412,-0.742
0.422,-0.536
0.432,1.137
0.443,-0.273
0.454,-1.69
0.464,-0.768
0.474,0.943
0.484,0.598
0.493,-1.125
0.504,-0.761
0.513,0.131
0.522,0.771
0.532,-0.162
0.542,-0.754
0.553,-0.149
0.564,0.485
0.574,0.411
0.584,-0.959
0.594,-1.364
0.605,1.346
0.616,0.306
0.626,-0.608
0.635,-1.457
0.646,0.417
0.655,0.413
0.666,-0.534
0.677,-1.109
0.688,0.027
0.698,0.855
0.709,-0.613
0.718,-0.169
0.729,-0.497
0.739,1.149
0.749,-0.237
0.759,-1.083
0.769,-0.402
0.779,1.194
0.79,0.595
0.801,-0.653
0.811,-1.066
0.822,0.949
0.831,1.118
0.842,-0.49
0.852,-1.253
0.862,0.441
0.872,1.032
0.882,-0.208
0.891,-0.81
0.901,-0.11
0.911,0.844
0.922,0.768
0.931,-0.876
0.942,-0.515
0.953,1.074
0.963,0.705
0.973,-0.768
0.982,-0.388
0.993,0.539
1.003,0.295
1.0,1.423
1.022,0.636
1.032,0.37
1.042,0.659
1.052,-0.247
1.062,0.457
1.072,0.171
1.082,-0.281
1.092,-0.918
1.101,-0.929
1.111,-1.11
1.121,-0.952
1.131,-0.87
1.141,-1.146
1.15,-1.182
1.162,-0.837
1.172,-0.769
1.182,-0.654
1.192,-0.195
1.202,0.346
1.211,0.442
1.221,0.498
1.231,0.749
1.241,1.098
1.251,1.338
1.261,1.405
1.271,0.693
1.282,0.512
1.292,-0.067
1.303,-0.183
1.313,0.272
1.323,-0.777
1.333,-0.42
