price,bedrooms,sqft,grade
221900.0,3,1180,7
538000.0,3,2570,7
180000.0,2,770,6
604000.0,4,1960,7
510000.0,3,1680,8
1230000.0,4,5420,11
257500.0,3,1715,7
291850.0,3,1060,7
229500.0,3,1780,7
323000.0,3,1890,7
662500.0,3,3560,8
468000.0,2,1160,7
310000.0,3,1430,7
400000.0,3,1370,7
530000.0,5,1810,7
650000.0,4,2950,9
395000.0,3,1890,7
485000.0,4,1600,7
189000.0,2,1200,7
230000.0,3,1250,7
385000.0,4,1620,7
2000000.0,3,3050,9
285000.0,5,2270,8
252700.0,2,1070,7
329000.0,3,2450,8
233000.0,3,1710,6
937000.0,3,2450,8
667000.0,3,1400,8
438000.0,3,1520,7
719000.0,4,2570,8
580500.0,3,2320,8
280000.0,2,1190,7
687500.0,4,2330,7
535000.0,3,1090,8
322500.0,4,2060,7
696000.0,3,2300,8
550000.0,4,1660,5
640000.0,4,2360,8
240000.0,4,1220,7
605000.0,4,2620,8
625000.0,4,2570,9
775000.0,4,4220,8
861990.0,5,3595,9
685000.0,3,1570,7
309000.0,3,1280,6
488000.0,3,3160,8
210490.0,3,990,6
785000.0,4,2290,9
450000.0,3,1250,7
1350000.0,3,2753,9
228000.0,3,1190,7
345000.0,5,3150,8
600000.0,3,1410,7
585000.0,2,1980,7
920000.0,5,2730,8
885000.0,4,2830,9
292500.0,4,2250,7
301000.0,3,2420,8
951000.0,5,3250,8
430000.0,4,1850,8
650000.0,3,2150,8
289000.0,3,1260,7
505000.0,3,2519,8
549000.0,3,1540,8
425000.0,3,1660,7
317625.0,3,2770,7
975000.0,4,2720,10
287000.0,4,2240,7
204000.0,3,1000,7
1330000.0,5,3200,8
1040000.0,5,4770,11
325000.0,3,1260,7
571000.0,4,2750,7
360000.0,4,2380,8
349000.0,3,1790,7
832500.0,4,3430,10
380000.0,4,1760,7
480000.0,3,1040,7
410000.0,3,1410,7
720000.0,4,3450,10
390000.0,3,2350,8
360000.0,4,1900,7
355000.0,2,2020,7
356000.0,3,1680,8
315000.0,3,960,6
940000.0,3,2140,9
305000.0,5,2660,7
461000.0,3,2770,9
215000.0,2,1610,7
335000.0,2,1030,7
243500.0,4,1980,7
1100000.0,5,3520,10
153000.0,3,1200,7
430000.0,3,1580,8
700000.0,3,1580,8
905000.0,4,3300,7
247500.0,3,1960,7
199000.0,4,1160,7
314000.0,3,1810,7
437500.0,3,2320,9
850830.0,3,2070,9
555000.0,3,1980,7
699950.0,3,2190,8
1090000.0,3,2920,8
290000.0,3,1210,7
375000.0,3,2340,8
460000.0,3,1670,7
188500.0,2,1240,8
680000.0,4,3140,10
470000.0,5,2030,7
597750.0,4,2310,8
570000.0,3,1260,6
272500.0,3,1540,7
329950.0,3,2080,7
480000.0,4,3230,9
740500.0,3,4380,8
518500.0,3,1590,8
205425.0,2,880,6
171800.0,4,1570,6
535000.0,4,1610,7
660000.0,3,2400,8
391500.0,3,1450,7
395000.0,2,770,6
445000.0,4,2100,7
770000.0,3,2910,9
1450000.0,4,2750,8
445000.0,3,2100,8
260000.0,4,2160,8
822500.0,5,2320,7
430000.0,4,2070,7
212000.0,3,1060,7
660500.0,4,2010,8
784000.0,3,3950,9
453246.0,3,2010,8
675000.0,4,2140,9
199000.0,3,1320,7
220000.0,4,2020,7
452000.0,4,2590,8
382500.0,2,1190,6
519950.0,3,1170,8
665000.0,2,1110,7
527700.0,5,2820,8
205000.0,3,1610,7
420000.0,3,1060,7
500000.0,4,2030,8
921500.0,4,3670,9
890000.0,4,2550,8
430000.0,2,2420,7
258000.0,5,2260,8
511000.0,3,1430,7
532170.0,3,1360,8
560000.0,3,1110,7
282950.0,3,1250,7
2250000.0,4,5180,12
350000.0,1,700,7
215000.0,3,1180,7
650000.0,5,3960,9
320000.0,4,2640,8
247000.0,3,1270,7
320000.0,4,1760,8
255000.0,5,2060,7
438000.0,3,1780,7
900000.0,3,3400,10
441000.0,3,1910,7
420000.0,3,2020,7
370000.0,3,1580,7
269950.0,2,1340,5
807100.0,4,2680,9
653000.0,3,2680,8
371500.0,3,1370,7
284000.0,3,1560,7
272000.0,3,2160,7
313000.0,3,1340,7
917500.0,4,3880,10
673000.0,4,2590,8
425000.0,3,1120,8
399950.0,5,1970,7
385000.0,3,1220,6
269950.0,3,1950,7
330000.0,2,1350,7
260000.0,3,1670,7
470000.0,4,2380,7
589000.0,4,2440,7
163500.0,2,1050,7
835000.0,4,3130,9
1100000.0,5,4090,10
269000.0,4,1490,8
560000.0,3,1900,8
615000.0,4,1330,6
585188.0,3,2230,8
305000.0,3,1650,7
166950.0,3,1190,6
799000.0,3,2140,8
400000.0,3,2180,7
230000.0,3,1060,7
256883.0,3,1690,8
423000.0,4,1970,7
465000.0,3,2150,8
440000.0,3,1910,7
385000.0,3,1350,7
210000.0,3,860,6
297000.0,3,1940,8
470000.0,3,1010,7
226500.0,3,1300,7
274250.0,3,910,6
840000.0,4,2480,9
677900.0,3,2440,8
425000.0,3,1010,7
180250.0,2,900,6
464000.0,6,2300,7
320000.0,4,1550,8
625504.0,3,1270,8
592500.0,4,2240,9
465000.0,3,2714,9
477000.0,4,1720,8
280000.0,2,850,6
1510000.0,5,3300,9
445838.0,3,2250,8
1070000.0,2,3900,8
467000.0,2,1320,8
686000.0,4,2760,10
279950.0,3,1750,7
527000.0,4,2330,8
325000.0,3,2220,8
328000.0,3,2020,7
390000.0,3,1250,7
479950.0,2,1510,8
264950.0,4,1720,7
235000.0,3,1430,7
516500.0,3,1480,7
655000.0,2,1450,7
500000.0,4,2280,7
315000.0,6,2940,8
213000.0,2,1000,6
475000.0,3,2480,7
1030000.0,5,3760,10
416000.0,3,2220,7
410000.0,4,1970,7
800000.0,3,3830,10
472000.0,6,4410,9
225000.0,3,1430,7
210000.0,2,830,6
455000.0,2,1430,7
225000.0,3,1300,6
480000.0,2,1030,7
363000.0,3,2740,9
2400000.0,4,3650,9
181000.0,2,720,6
250000.0,4,2010,7
481000.0,3,1560,6
260000.0,3,1810,7
455000.0,4,3360,9
415000.0,3,1510,8
349500.0,3,1400,7
245000.0,3,1730,7
592500.0,2,1420,7
385000.0,4,2360,7
315000.0,3,1580,7
255000.0,3,1230,7
693000.0,4,2460,8
780000.0,3,1660,8
237000.0,3,1270,7
525000.0,3,2100,10
425000.0,2,770,5
369900.0,1,760,5
290000.0,4,1700,7
285000.0,3,1120,7
415000.0,2,1070,7
272500.0,3,2070,8
2900000.0,4,5050,11
1370000.0,4,5310,11
436000.0,2,1040,7
210000.0,3,1700,7
236000.0,3,1300,7
331000.0,3,1080,7
365000.0,3,2653,8
450000.0,3,2290,8
770000.0,4,3820,9
455000.0,4,2210,8
405000.0,3,2390,6
304900.0,4,2600,7
170000.0,2,860,6
2050000.0,5,3830,9
780000.0,4,3500,9
330000.0,3,2420,8
370000.0,4,2720,9
467000.0,5,2500,7
405000.0,3,1670,7
675000.0,5,2900,8
500000.0,2,1640,7
389999.0,4,1890,7
630000.0,4,2950,8
360000.0,4,2160,9
580000.0,4,3280,8
550000.0,3,1970,8
879000.0,4,3360,10
265000.0,3,1320,7
446500.0,3,2650,8
404000.0,3,2030,7
267500.0,3,1590,7
3080000.0,4,4550,10
335000.0,3,2440,8
576000.0,3,1940,7
208633.0,3,2040,8
315000.0,3,2200,7
725000.0,3,1920,8
550000.0,4,1800,8
610750.0,4,2180,8
550700.0,2,1010,6
665000.0,4,3320,8
834000.0,4,2370,8
201000.0,5,1660,6
2380000.0,5,3650,10
1380000.0,4,4290,11
1400000.0,4,4290,11
305000.0,4,1950,8
487000.0,3,2590,8
390000.0,3,1930,8
548000.0,2,1470,7
268750.0,4,800,6
819900.0,5,3150,9
